item,price
dang coconut chips,2.99
mr. cheese o's cheddar,2.42
mr. cheese o's parmesan,2.42
orchard valley almonds dark chocolate,2.12
planters turtle sundae mix,2.79
appleways cinnaon crispy bites,1.44
appleways blueberry lemon crispy bites,1.44
orchard valley chocolate raisin nut trail mix,2.39
black forest juicy burst,1.25
purely elizabeth blueberry hemp ancient grain granola,2.59
darrell lea soft eating liquorice,3.51
chex mix muddy buddies,2.49
think beef jerky classic,3.99
think beef jerky sweet chipotle,3.99
emeral sriracha cashews,1.89
dry roasted edamame spicy wasabi,1.27
sahale classic fruit+nut,1.99
sahale pomegranate vanilla flavored cashews,1.99
sahale honey almonds,1.99
blue diamond roasted salt almonds,1.36
blue diamond whole natural almonds,1.49
kit kat,1.65
nature valley oats 'n dark chocolate,1.13
kind oats & honey,1.53
twix,2.24
peanut m&ms,2.24
snickers,2.24
reese's,1
fiber one oats&chocolate,1
planters peanuts,1
keebler cheese & peanut butter crackers,1
dimario pork stick,1.79
dimario chicken rosemary herb stick,1.79
5-hour energy,3.76
cheetos cheddar jalapeno,1
cheetos crunchy,1
cheetos flaming hot,1
famous amos chocolate chip cookies,1.03
Pirate's booty cheddar popcorn,1.39
veggie crisps sea salt,1.23
lays classic,1
ruffles baked cheddar & sour cream,1
lays baked original,1
plentils margherita pizza lentil chips,1.39
lays baked sour cream & onion,1.03
snyder's mini pretzals,1
jackson's honest sweet potato chips,1.39
beanitos white bean chips nacho cheese,1.29
ritz bites,2.09
skinny pop popcorn,1.41
pretzel crisps buffalo wing,1.95
smartfood white cheddar popcorn,1.03
popchips potato barbeque,1.45
cheez it original,1.03
sun chips harvest cheddar,1.03
snyder's hanover sourdough nibblers,0.75
snyder's pretzel pieces honey mustard & onion,1
rold gold tiny twitsts pretzels,1
goldfish baked,1
gardetto's original snack mix,1.14
wheat thins veggie toasted chips,1
ritz toasted chips sour cream & onion,1
hippeas chickpea puffs pepper power,1.89
hippeas chickpea puffs vegan white cheddar,1.89
inka chips plantain chips,2.42
inka chips chile picante plantain chips,2.42
doritos nacho cheese,1
deep river mesquite bbq,1.19
deep river aged cheddar horseradish,1.19
kettle dill pickle,1.43
kettle honey dijon,1.43
kettle jalapeno,1.34
pretzel crisps original,1.95
boulder canyon hickory barbeque,1.03
boulder canyon sea salt,1.14
boulder canyon malt vinegar & sea salt,1.14
kraft mac & cheese,1.67
lundberg thin stackers brown rice,3.49
pop tart brown sugar cinnamon,1
pop tarts frosted strawberry,1.23
pop tarts frosted s'mores,1.1
rice krispies treats original,1
stacy's pita chips simply naked,1.26
h-k anderson peanut butter filled pretzel nuggets,1.49
chex mix traditional,1
garden veggie straws zesty ranch,1.43
terra real vegetable chips original sea salt,1.52
sweet dreams milk chocolate rice cakes,3.49
pringles sour cream,1.43
pringles original,1.43
honey nut cheerios,1.61
bob's red mill oatmeal,2.79
popcorners white cheddar corn chips,0.99
5-hour energy berry,3.5
thinkThin high protein bar caramel fudge,2.56
thinkThin high protein bar chocolate fudge,2.59
questbar cinnamon roll,2.89
questbar coconut cashew,2.89
questbar chocolate brownie,2.89
balance chocolate mint cookie crunch,2.19
balance chocolate peanut butter,2.19
balance caramel nut blast,2.17
newton's fig,1
rise almond honey protein bar,2.89
clif bar nut butter filled,2.56
clif bar crunchy peanut butter,2.29
jimmybar! peanut butter clutter,2.59
kind peanut butter dark chocolate bar,1.53
kind oats & honey w/ toasted coconut bar,1.53
nature's bakery double dark chocolate brownie,1.13
nature' bakery blueberry fig bar,0.98
bobo's lemon poppyseed oat bar,2.88
nature valley oats 'n dark chocolate,1
nature valley oats 'n honey ,0.99
pressed by kind cherry apple chia fruit bar,2.79
That's it. fruit bar,2.03
twizzlers,1
starburst minis,1
skittles ,2.44
clif builder's protein crunchy peanut butter,2.25
clif builder's protein chocolate mint,2.57
clif bar apricot,2.25
clif bar oatmeal raisin walnut,2.29
belvita blueberry,1.12
belvita golden oat,1.12
luna white chocolate macadamia,2.18
questbar chocolate chip cookie dough protein bar,2.89
nature valley sweet & salty nut almond,0.99
chocolove xoxox raspberries in dark chocolate,1.62
chocolove xoxox strong dark chocolate,1.64
rxbar peanut butter,2.79
rxbar chocolate sea salt,2.79
rxbar blueberry,2.79
kind plus dark chocolate cherry cashew,2.28
extra peppermint,1.6
extra spearmint,1.6
dentyne ice,2
peppermint cobalt 5 gum,1.84
fage total yogurt,2.49
chobani yogurt,2.09
sabra hummus,3.21
goodfoods chunky guacamole w/ tortilla chips,2.29
hard boiled egg pack,2.13
panera chicken noodle soup,3.79
grabn' go 1/4 lb cheeseburger,3.29
grabn' go sausage egg cheese sandwich,2.39
yogurt parfait thoughtfully handmade,3.59
grabn' go double cheeseburger,2.89
grabn' go ham & swiss pretzel,3.19
grabn' go tuna macaroni pasta salad,2.59
dipperz baby carrots and ranch dip,1.57
creminelli casalingo salami aged gouda and dried cherries,4.99
philadelphia bagel chips & cream cheese dip,2.69
dole fruit cup,1.81
bakers basket blueberry muffin,1.43
bakers basket bran muffin,1.35
bakers basket banana muffin,1.43
chobani flip key lime crumble,2.35
cheddar cheese chunk,0.68
string cheese,0.88
apple,0.75
clementine,0.5
orange,1.03
soda cans,1
la croix pamplemousse grapefruit,1
la croix coconut,1.03
spindrift sparkling water,1.89
stumptown cold brew coffee,4.39
dunkin donuts french vanilla iced coffee,2.45
dunkin donuts mocha iced coffee,2.45
chobani mixed berry drink,2.45
la colombe mocha draft latte,3.79
lifeway kefir strawberry,1.89
monster energy zero ultra,2.99
monster eenrgy (green),2.75
monster energy lo carb (blue),2.75
prarie farms chocolate milk,1.79
sanpellegrino,1.4
v8 low sodium,1.35
red bull,2.75
hubert's lemonade,2.79
mtn dew kickstart,1.49
s. pellegrino bottle,1.49
perrier,1.9
coke bottles,1.75
pure leaf bottles,2.05
silk almondmilk,2.25
vita coco coconut water,2.92
a&w rootbeer bottle,1.75
alo wheatgrass juice,2.69
minute maid juice,1.95
naked green machine juice,3.74
bai antioxidant drink,2.59
snapple peach tea,1.59
soda bottle,1.75
vitamin water,2.18
gatorade,1.89
smart water,1.75
fiji water,1.95
dasani,1.75
aquafina,1.75
health ade kombucha ginger-lemon,5.3
core power protein,3.89
